[2026-09-08 10:49:39] START duration_hours=6 interval_seconds=5 gateway=192.168.4.1 external_target=8.8.8.8
[2026-09-08 10:49:39] gateway=OK gateway_rtt=5.8ms internet=OK internet_rtt=21.9ms gateway_error=none internet_error=none
[2026-09-08 10:49:44] gateway=OK gateway_rtt=6.9ms internet=OK internet_rtt=23.8ms gateway_error=none internet_error=none
[2026-09-08 10:49:49] gateway=OK gateway_rtt=8.6ms internet=OK internet_rtt=20.8ms gateway_error=none internet_error=none
[2026-09-08 10:49:54] gateway=OK gateway_rtt=6.1ms internet=OK internet_rtt=16.2ms gateway_error=none internet_error=none
[2026-09-08 10:49:59] gateway=OK gateway_rtt=5.6ms internet=OK internet_rtt=18.8ms gateway_error=none internet_error=none
[2026-09-08 10:50:04] gateway=OK gateway_rtt=5.7ms internet=OK internet_rtt=18.7ms gateway_error=none internet_error=none
[2026-09-08 10:50:09] gateway=OK gateway_rtt=8.9ms internet=OK internet_rtt=26.9ms gateway_error=none internet_error=none
[2026-09-08 10:50:14] gateway=OK gateway_rtt=7.1ms internet=OK internet_rtt=19.3ms gateway_error=none internet_error=none
[2026-09-08 10:50:19] gateway=OK gateway_rtt=6.8ms internet=OK internet_rtt=19.0ms gateway_error=none internet_error=none
[2026-09-08 10:50:24] gateway=OK gateway_rtt=7.2ms internet=OK internet_rtt=22.2ms gateway_error=none internet_error=none
[2026-09-08 10:50:29] gateway=OK gateway_rtt=6.1ms internet=OK internet_rtt=17.0ms gateway_error=none internet_error=none
[2026-09-08 10:50:35] gateway=OK gateway_rtt=7.8ms internet=OK internet_rtt=29.4ms gateway_error=none internet_error=none
[2026-09-08 10:50:40] gateway=OK gateway_rtt=10.7ms internet=OK internet_rtt=21.0ms gateway_error=none internet_error=none
[2026-09-08 10:50:45] gateway=OK gateway_rtt=7.2ms internet=OK internet_rtt=14.2ms gateway_error=none internet_error=none
[2026-09-08 10:50:50] gateway=OK gateway_rtt=6.1ms internet=OK internet_rtt=23.1ms gateway_error=none internet_error=none
[2026-09-08 10:50:55] gateway=OK gateway_rtt=7.8ms internet=OK internet_rtt=16.9ms gateway_error=none internet_error=none
[2026-09-08 10:51:00] gateway=OK gateway_rtt=5.6ms internet=OK internet_rtt=18.4ms gateway_error=none internet_error=none
[2026-09-08 10:51:05] gateway=OK gateway_rtt=7.8ms internet=OK internet_rtt=13.1ms gateway_error=none internet_error=none
[2026-09-08 10:51:10] gateway=OK gateway_rtt=6.8ms internet=OK internet_rtt=26.5ms gateway_error=none internet_error=none
[2026-09-08 10:51:15] gateway=OK gateway_rtt=6.6ms internet=OK internet_rtt=19.4ms gateway_error=none internet_error=none
[2026-09-08 10:51:20] gateway=OK gateway_rtt=7.6ms internet=OK internet_rtt=15.1ms gateway_error=none internet_error=none
[2026-09-08 10:51:25] gateway=OK gateway_rtt=5.7ms internet=OK internet_rtt=20.7ms gateway_error=none internet_error=none
[2026-09-08 10:51:30] gateway=OK gateway_rtt=7.1ms internet=OK internet_rtt=18.3ms gateway_error=none internet_error=none
[2026-09-08 10:51:35] gateway=OK gateway_rtt=5.4ms internet=OK internet_rtt=14.0ms gateway_error=none internet_error=none
[2026-09-08 10:51:40] gateway=OK gateway_rtt=5.6ms internet=OK internet_rtt=19.5ms gateway_error=none internet_error=none
[2026-09-08 10:51:45] gateway=OK gateway_rtt=8.9ms internet=OK internet_rtt=16.9ms gateway_error=none internet_error=none
