[2026-09-10 09:43:15] START duration_hours=6.0 interval_seconds=5 gateway=192.168.4.1 external_target=8.8.8.8
[2026-09-10 09:43:15] gateway=OK gateway_rtt=7.1ms internet=OK internet_rtt=22.9ms gateway_error=none internet_error=none
[2026-09-10 09:43:20] gateway=OK gateway_rtt=6.6ms internet=OK internet_rtt=19.2ms gateway_error=none internet_error=none
[2026-09-10 09:43:25] gateway=OK gateway_rtt=8.1ms internet=OK internet_rtt=22.8ms gateway_error=none internet_error=none
[2026-09-10 09:43:30] gateway=OK gateway_rtt=6.3ms internet=OK internet_rtt=20.3ms gateway_error=none internet_error=none
[2026-09-10 09:43:36] gateway=OK gateway_rtt=6.2ms internet=OK internet_rtt=18.5ms gateway_error=none internet_error=none
[2026-09-10 09:43:41] gateway=OK gateway_rtt=9.1ms internet=OK internet_rtt=21.9ms gateway_error=none internet_error=none
[2026-09-10 09:43:46] gateway=OK gateway_rtt=7.7ms internet=OK internet_rtt=20.9ms gateway_error=none internet_error=none
[2026-09-10 09:43:51] gateway=OK gateway_rtt=6.6ms internet=OK internet_rtt=21.4ms gateway_error=none internet_error=none
[2026-09-10 09:43:56] gateway=OK gateway_rtt=9.2ms internet=OK internet_rtt=28.0ms gateway_error=none internet_error=none
[2026-09-10 09:44:01] gateway=OK gateway_rtt=7.6ms internet=OK internet_rtt=20.8ms gateway_error=none internet_error=none
[2026-09-10 09:44:06] gateway=OK gateway_rtt=7.1ms internet=OK internet_rtt=21.9ms gateway_error=none internet_error=none
[2026-09-10 09:44:11] gateway=OK gateway_rtt=6.2ms internet=OK internet_rtt=14.5ms gateway_error=none internet_error=none
[2026-09-10 09:44:16] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=20.8ms gateway_error=none internet_error=none
[2026-09-10 09:44:21] gateway=OK gateway_rtt=8.9ms internet=OK internet_rtt=19.3ms gateway_error=none internet_error=none
[2026-09-10 09:44:26] gateway=OK gateway_rtt=7.4ms internet=OK internet_rtt=23.7ms gateway_error=none internet_error=none
[2026-09-10 09:44:31] gateway=OK gateway_rtt=6.5ms internet=OK internet_rtt=20.7ms gateway_error=none internet_error=none
[2026-09-10 09:44:36] gateway=OK gateway_rtt=6.6ms internet=OK internet_rtt=20.2ms gateway_error=none internet_error=none
[2026-09-10 09:44:41] gateway=OK gateway_rtt=6.8ms internet=OK internet_rtt=20.2ms gateway_error=none internet_error=none
[2026-09-10 09:44:46] gateway=OK gateway_rtt=8.7ms internet=OK internet_rtt=17.6ms gateway_error=none internet_error=none
[2026-09-10 09:44:51] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=18.5ms gateway_error=none internet_error=none
[2026-09-10 09:44:56] gateway=OK gateway_rtt=6.1ms internet=OK internet_rtt=20.8ms gateway_error=none internet_error=none
[2026-09-10 09:45:01] gateway=OK gateway_rtt=8.5ms internet=OK internet_rtt=19.4ms gateway_error=none internet_error=none
[2026-09-10 09:45:06] gateway=OK gateway_rtt=8.7ms internet=OK internet_rtt=20.7ms gateway_error=none internet_error=none
[2026-09-10 09:45:12] gateway=OK gateway_rtt=9.9ms internet=OK internet_rtt=19.3ms gateway_error=none internet_error=none
[2026-09-10 09:45:17] gateway=OK gateway_rtt=9.6ms internet=OK internet_rtt=19.5ms gateway_error=none internet_error=none
[2026-09-10 09:45:22] gateway=OK gateway_rtt=6.3ms internet=OK internet_rtt=21.3ms gateway_error=none internet_error=none
[2026-09-10 09:45:27] gateway=OK gateway_rtt=10.5ms internet=OK internet_rtt=19.2ms gateway_error=none internet_error=none
[2026-09-10 09:45:32] gateway=OK gateway_rtt=6.6ms internet=OK internet_rtt=20.0ms gateway_error=none internet_error=none
[2026-09-10 09:45:37] gateway=OK gateway_rtt=8.1ms internet=OK internet_rtt=17.0ms gateway_error=none internet_error=none
