[SUMMARY] Log file: /Volumes/MOVESPEED/myCode/checkInternet/network_monitor_20260908_104939.txt
[SUMMARY] Total outage events detected: 142
[SUMMARY] Event 1: type=INTERNET_ONLY | start=2026-09-08 10:53:42 | end=2026-09-08 10:54:02 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 2: type=INTERNET_ONLY | start=2026-09-08 10:56:13 | end=2026-09-08 10:56:23 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 3: type=INTERNET_ONLY | start=2026-09-08 11:04:38 | end=2026-09-08 11:04:58 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 4: type=INTERNET_ONLY | start=2026-09-08 11:06:04 | end=2026-09-08 11:06:14 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 5: type=INTERNET_ONLY | start=2026-09-08 11:06:19 | end=2026-09-08 11:06:29 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 6: type=INTERNET_ONLY | start=2026-09-08 11:07:40 | end=2026-09-08 11:08:00 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 7: type=INTERNET_ONLY | start=2026-09-08 11:09:11 | end=2026-09-08 11:09:31 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 8: type=INTERNET_ONLY | start=2026-09-08 11:10:36 | end=2026-09-08 11:10:46 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 9: type=INTERNET_ONLY | start=2026-09-08 11:12:02 | end=2026-09-08 11:12:32 | duration=30s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 10: type=INTERNET_ONLY | start=2026-09-08 11:13:43 | end=2026-09-08 11:13:53 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 11: type=INTERNET_ONLY | start=2026-09-08 11:14:59 | end=2026-09-08 11:14:59 | duration=0s | gateway=OK->OK | internet=FAIL->FAIL
[SUMMARY] Event 12: type=INTERNET_ONLY | start=2026-09-08 11:20:41 | end=2026-09-08 11:20:51 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 13: type=INTERNET_ONLY | start=2026-09-08 11:21:11 | end=2026-09-08 11:21:21 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 14: type=INTERNET_ONLY | start=2026-09-08 11:40:57 | end=2026-09-08 11:41:17 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 15: type=INTERNET_ONLY | start=2026-09-08 11:51:56 | end=2026-09-08 11:52:26 | duration=30s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 16: type=INTERNET_ONLY | start=2026-09-08 11:58:16 | end=2026-09-08 11:58:26 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 17: type=INTERNET_ONLY | start=2026-09-08 12:03:04 | end=2026-09-08 12:03:24 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 18: type=INTERNET_ONLY | start=2026-09-08 12:04:34 | end=2026-09-08 12:04:54 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 19: type=INTERNET_ONLY | start=2026-09-08 12:06:10 | end=2026-09-08 12:06:30 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 20: type=INTERNET_ONLY | start=2026-09-08 12:07:31 | end=2026-09-08 12:07:51 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 21: type=INTERNET_ONLY | start=2026-09-08 12:09:07 | end=2026-09-08 12:09:17 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 22: type=INTERNET_ONLY | start=2026-09-08 12:10:33 | end=2026-09-08 12:10:53 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 23: type=INTERNET_ONLY | start=2026-09-08 12:12:04 | end=2026-09-08 12:12:14 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 24: type=INTERNET_ONLY | start=2026-09-08 12:12:19 | end=2026-09-08 12:12:29 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 25: type=INTERNET_ONLY | start=2026-09-08 12:13:40 | end=2026-09-08 12:13:50 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 26: type=INTERNET_ONLY | start=2026-09-08 12:15:06 | end=2026-09-08 12:15:26 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 27: type=INTERNET_ONLY | start=2026-09-08 12:16:36 | end=2026-09-08 12:16:46 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 28: type=INTERNET_ONLY | start=2026-09-08 12:16:51 | end=2026-09-08 12:17:01 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 29: type=INTERNET_ONLY | start=2026-09-08 12:18:12 | end=2026-09-08 12:18:32 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 30: type=INTERNET_ONLY | start=2026-09-08 12:19:38 | end=2026-09-08 12:19:58 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 31: type=INTERNET_ONLY | start=2026-09-08 12:21:04 | end=2026-09-08 12:21:14 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 32: type=INTERNET_ONLY | start=2026-09-08 12:22:40 | end=2026-09-08 12:23:00 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 33: type=INTERNET_ONLY | start=2026-09-08 12:23:45 | end=2026-09-08 12:23:56 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 34: type=INTERNET_ONLY | start=2026-09-08 12:24:06 | end=2026-09-08 12:24:16 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 35: type=INTERNET_ONLY | start=2026-09-08 12:24:21 | end=2026-09-08 12:24:31 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 36: type=INTERNET_ONLY | start=2026-09-08 12:25:42 | end=2026-09-08 12:25:52 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 37: type=INTERNET_ONLY | start=2026-09-08 12:27:08 | end=2026-09-08 12:27:18 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 38: type=INTERNET_ONLY | start=2026-09-08 12:28:44 | end=2026-09-08 12:28:54 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 39: type=INTERNET_ONLY | start=2026-09-08 12:30:05 | end=2026-09-08 12:30:15 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 40: type=INTERNET_ONLY | start=2026-09-08 12:30:20 | end=2026-09-08 12:30:30 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 41: type=INTERNET_ONLY | start=2026-09-08 12:31:42 | end=2026-09-08 12:31:52 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 42: type=INTERNET_ONLY | start=2026-09-08 12:33:08 | end=2026-09-08 12:33:28 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 43: type=INTERNET_ONLY | start=2026-09-08 12:34:34 | end=2026-09-08 12:34:54 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 44: type=INTERNET_ONLY | start=2026-09-08 12:36:10 | end=2026-09-08 12:36:20 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 45: type=INTERNET_ONLY | start=2026-09-08 12:37:36 | end=2026-09-08 12:37:46 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 46: type=INTERNET_ONLY | start=2026-09-08 12:37:51 | end=2026-09-08 12:38:01 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 47: type=INTERNET_ONLY | start=2026-09-08 12:39:17 | end=2026-09-08 12:39:27 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 48: type=INTERNET_ONLY | start=2026-09-08 12:40:38 | end=2026-09-08 12:40:48 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 49: type=INTERNET_ONLY | start=2026-09-08 12:40:53 | end=2026-09-08 12:41:03 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 50: type=INTERNET_ONLY | start=2026-09-08 12:42:19 | end=2026-09-08 12:42:29 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 51: type=INTERNET_ONLY | start=2026-09-08 12:43:40 | end=2026-09-08 12:44:00 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 52: type=INTERNET_ONLY | start=2026-09-08 12:46:11 | end=2026-09-08 12:46:31 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 53: type=INTERNET_ONLY | start=2026-09-08 12:46:37 | end=2026-09-08 12:46:47 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 54: type=INTERNET_ONLY | start=2026-09-08 12:47:27 | end=2026-09-08 12:47:37 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 55: type=INTERNET_ONLY | start=2026-09-08 12:57:24 | end=2026-09-08 12:57:44 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 56: type=INTERNET_ONLY | start=2026-09-08 12:58:50 | end=2026-09-08 12:59:00 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 57: type=INTERNET_ONLY | start=2026-09-08 13:00:21 | end=2026-09-08 13:00:31 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 58: type=INTERNET_ONLY | start=2026-09-08 13:00:36 | end=2026-09-08 13:00:46 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 59: type=INTERNET_ONLY | start=2026-09-08 13:01:47 | end=2026-09-08 13:02:07 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 60: type=INTERNET_ONLY | start=2026-09-08 13:03:18 | end=2026-09-08 13:03:28 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 61: type=INTERNET_ONLY | start=2026-09-08 13:03:38 | end=2026-09-08 13:03:48 | duration=10s | gateway=OK->OK | internet=FAIL->OK
